ID,Roots,Glosses,Occurrences,Comments,LN Base,LN Sense,LN Gloss,LN Definition,LN Note,LN Tag,Categories,Examples,Exhaustive Examples,Level,Expansion Rule,Expansion Rule Status,Distribution,ParentID,Brief Gloss,Linguists Assistant
174073,horizontal,,,,,0,flat and level,,,,,,,1,,0,,,,0
174075,hot,,13,,,0,something has a high temperature (That fire is hot.),,,,,,4|1|19|28|I|||fireA||4|1|36|24|N|||springA||4|1|41|6|N|||windA||4|1|41|23|N|||windA||4|9|21|6|N|||breadA||4|27|3|6|I|||fire/AfurnaceA||4|27|3|15|I|||fire/AfurnaceA||4|27|3|17|I|||fire/AfurnaceA||4|27|3|19|i|fireA|becomeA|||4|27|3|22|E|fireA|beD|||4|27|3|26|E|||fire/AfurnaceA||4|27|7|11|I|||fireA||4|32|4|8|N|||windA||,1,,0,,,,0
174076,how-much-many,,8,,,0,question word,,,,QA_____,,4|1|29|15|N|||moneyA||4|1|47|8|N|||yearA||4|41|6|38|N|||piece/AloafA||4|41|8|5|N|||piece/AloafA||4|41|8|19|N|||basketA||4|41|8|20|N|||basketA||4|42|16|5|N|||goodA||4|42|16|7|N|||goodA||,1,,0,,5,,1
174078,hundreds,,1,,,0,"an expression indicating hundreds of something, not a precise number",,,,,,4|7|16|30|N|||PhilistineA||,1,,0,,,,0
174080,important,,154,,,0,important attribute,,,,Gabc__f,"4,17,1,3|(NPp|Xerxes|)|(VP|invite|)|(NPP|(APA|important|)|man|)|(NPd|feast|)|~Xerxes invited the important men to the feast.4,17,1,5|(NPp|person|)|(VP|be|)|(APP|important|)|~The people were important.4,40,6,25|(NPp|thing|)|(VP|be|)|(APP|important|(NPN|food|)|)|~These things are more important than food.",4|1|9|5|N|lifeA|beD||GodA|4|1|49|3|C|ReubenA|beD||sonA|4|7|6|15|l|||personA||4|9|9|1|N|||manA||4|9|9|21|l|||familyA||4|9|15|17|N|SaulA|beD|||4|9|18|18|N|DavidA|beD|||4|9|18|18|N|familyA|beD|||4|9|18|23|N|DavidA|beD|||4|9|20|2|N|||thingB||4|9|20|2|N|thingB|beD|||4|9|23|17|S|||officerA||4|9|24|14|N|DavidA|beD|||4|9|24|14|N|||thingB||4|10|5|12|N|||countryA||4|10|5|13|N|||personA||4|10|7|18|N|DavidA|beD|||4|10|7|18|N|familyA|beD|||4|10|20|18|N|||questionA||4|10|20|19|N|||cityA||4|10|22|28|N|personA|beD|||4|10|22|28|N|personA|beD|||4|10|22|28|L|personA|becomeA|||4|10|22|47|N|GodA|beD|||4|10|23|13|N|||officerA||4|10|23|13|N|||officerA||4|10|23|16|N|||officerA||4|10|23|17|N|||officerA||4|10|23|18|N|||officerA||4|10|23|23|N|||officerA||4|10|23|23|N|||officerA||4|10|23|24|I|soldierA|beD|||4|10|23|24|N|||soldierA||4|10|23|24|N|||soldierA||4|10|23|32|N|||soldierA||4|10|23|39|N|||soldierA||4|16|6|3|I|workA|beD|||4|17|1|5|N|personA|beD|||4|17|1|5|N|personA|beD|||4|17|1|14|S|||officialA||4|17|1|18|N|||officialA||4|17|1|20|N|||womanA||4|17|2|18|N|||personA||4|17|2|18|N|||personA||4|17|3|1|C|HamanA|beD||officialA|4|17|6|9|N|||officialA||4|17|6|9|N|||officialA||4|17|8|9|N|||personA||4|17|9|3|N|||personA||4|27|4|17|l|manA|beD|||4|27|4|35|N|personA|beD|||4|27|5|1|N|||officialA||4|27|5|1|N|||officialA||4|27|5|2|N|||officialA||4|27|5|3|N|||officialA||4|27|5|19|N|personA|beD|||4|27|5|19|N|personA|becomeA|||4|27|5|23|N|||officialA||4|27|10|17|N|DanielA|beD|||4|32|3|5|l|||personA||4|32|3|5|S|||personA||4|32|3|5|l|||personA||4|32|3|5|S|||personA||4|34|3|6|N|personA|beD|||4|40|2|6|l|BethlehemA|beD|||4|40|2|6|I|BethlehemA|beD|||4|40|5|5|C|personA|beD||personA|4|40|5|19|l|||command/AcommandmentA||4|40|5|19|l|||personA||4|40|5|19|l|||command/AcommandmentA||4|40|5|19|l|||personA||4|41|1|7|C|personA|beD||JohnA|4|41|6|21|S|||manA||4|41|6|21|S|||manA||4|41|9|35|S|||personA||4|41|9|35|l|||personA||4|41|10|31|S|personA|beD|||4|41|10|31|l|personA|beD|||4|41|10|31|l|personA|beD|||4|41|10|31|S|personA|beD|||4|41|10|37|N|||seatA||4|41|10|44|S|||personA||4|41|12|10|S|||stoneA||4|41|12|28|S|||command/AcommandmentA||4|41|12|28|S|||command/AcommandmentA||4|41|12|29|S|||command/AcommandmentA||4|41|12|31|S|||command/AcommandmentA||4|41|12|33|i|commandA|beD||giftA|4|41|12|38|N|personA|beD|||4|41|12|39|S|||seatA||4|41|12|39|S|||personA||4|41|15|43|N|||personA||4|42|1|48|N|MaryA|beD|||4|42|3|16|C|personA|beD||JohnA|4|42|3|16|I|personA|beD|||4|42|7|28|l|||personA||4|42|9|48|l|personA|beD|||4|42|10|15|N|||personA||4|42|10|42|N|thingA|beD|||4|42|10|42|S|||thingB||4|42|12|21|N|thingB|beD|||4|42|12|23|C|lifeA|beD||foodA|4|42|12|23|C|bodyA|beD||clothesA|4|42|12|31|N|thingB|beD||GodA|4|42|13|30|S|personA|beD|||4|42|13|30|l|personA|beD|||4|42|13|30|l|personA|beD|||4|42|13|30|S|personA|beD|||4|42|14|7|S|||personA||4|42|14|8|S|||personA||4|42|14|8|C|guestA|beD||guestA|4|42|14|9|l|||personA||4|42|14|10|l|||personA||4|42|14|10|N|||personA||4|42|14|11|N|personA|beD|||4|42|14|11|N|personA|beD|||4|42|16|10|N|thingA|beD|||4|42|16|10|I|thingA|beD|||4|42|16|10|N|thingA|beD|||4|42|16|10|I|thingA|beD|||4|42|18|14|N|personA|beD|||4|42|18|14|N|personA|beD|||4|42|20|17|S|||stoneA||4|42|22|26|S|||personA||4|42|22|27|C|servantA|beD||personA|4|49|1|20|S|||placeA||4|49|2|20|S|||personA||4|49|2|20|S|||personA||4|49|2|20|S|||stoneA||4|49|3|8|l|||personA||4|50|1|17|C|personA|becomeA||PaulA|4|50|1|18|N|thingD|beD|||4|50|1|18|N|thingD|beD|||4|50|1|18|N|thingD|beD|||4|50|1|24|C|[live-B]|beV|||4|50|2|3|C|personA|becomeA||personA|4|50|2|3|C|personA|beD||personA|4|50|2|9|C|nameA|beD||nameA|4|50|3|1|N|||thingD||4|50|3|7|N|thingD|beD|||4|51|1|18|S|||personA||4|51|1|18|C|SonA|beD||thingA|4|51|1|19|S|||personA||4|51|3|1|S|||placeA||4|51|3|11|N|[be-C]|beD|||4|51|3|11|N|[be-C]|beD|||4|51|3|11|N|[cut-off-A]|beD|||4|51|3|11|N|[cut-off-A]|beD|||4|51|3|11|N|[learn-A]|beD|||4|51|3|11|N|[be-T]|beD|||4|51|3|11|N|[be-B]|beD|||4|51|3|11|N|[be-B]|beD|||4|51|3|11|E|ChristA|beD|||4|56|3|14|N|||thingB||,1,,0,,23,,1
174082,inner,,0,,,0,on the inside or close to the center of something,,,,GA_____,,,1,,0,,15,,1
174084,interested,,3,,,0,to be interested in doing something (John is interested in reading that book.),,,,G___D__,,6|3|1|19|N|JohnA|beD|||[read-A]4|42|20|20|N|personA|beD|||[hear-A]4|51|4|6|N|personA|beD|||[hear-D],1,,0,,13,,1
174086,jealous,,12,,,0,"to be jealous of someone, envious; this is not romantic jealousy.",,,,G__C___,"4,34,1,2|(NPp|Yahweh|)|(VP|be|)|(NPS|(APA|jealous|)|God|)|~Yahweh is a jealous God.4,40,20,15|(NPp|person|)|(VP|be|)|(APP|jealous|)|~The people were jealous.4,41,15,10|(NPp|chief-priest|)|(VP|be|)|(APP|jealous|(NPN|Jesus|)|)|~The chief priest was jealous of Jesus.",4|1|26|14|N|PhilistineA|beD||IsaacA|4|1|30|1|N|RachelA|becomeA||sisterA|4|1|37|11|N|brotherA|beD||JosephA|4|2|20|5|N|||GodA||4|6|24|19|N|||GodA||4|9|18|9|N|SaulA|beD||DavidA|4|27|6|4|N|leaderA|beD||DanielA|4|27|6|11|N|manA|beD||DanielA|4|34|1|2|N|YahwehA|becomeA|||4|41|15|10|N|priestA|beD||JesusA|4|50|1|15|N|personA|beD|||4|56|3|3|N|PaulA|beD||personA|,2,,0,,12,,1
174088,joyful,,5,,,0,complex - very happy,,,,,,4|16|8|10|I|personA|becomeA|||4|16|8|12|I|personA|beD|||4|16|8|17|I|personA|beD|||4|40|2|10|E|manA|becomeA|||4|40|5|12|N|personA|beD|||,2,,0,,,,0
174089,just,,2,,,0,"complex - to be just, fair",,,,G_B____,"4,40,12,18|(NPp|God|)|(VP|be|)|(APP|just|)|~God is just.",4|10|8|15|N|thingB|beD|||4|27|4|37|N|GodA|beD|||,2,,0,,25,,1
174091,kind,,69,,,0,to be kind to someone (Mary was kind to John.),,,,G__C___,"4,8,2,10|(NPp|Boaz|)|(VP|be|)|(APP|kind|(NPN|Ruth|)|)|~Boaz was kind to Ruth.",4|1|12|13|N|EgyptianA|beD||AbramA|4|1|12|16|N|kingA|beD||AbramA|4|1|24|12|N|YahwehA|beD||masterA|4|1|24|14|N|YahwehA|beD||masterA|4|1|24|27|N|YahwehA|beD|||4|1|24|49|N|LabanA|beD|||4|1|30|22|N|GodA|beD||RachelA|4|1|32|10|N|GodA|beD||servantA|4|1|39|21|N|YahwehA|beD||JosephA|4|1|40|14|N|manA|beD||JosephA|4|1|43|14|N|manA|beD||brotherA|4|1|43|29|N|GodA|beD||BenjaminA|4|1|47|29|N|JosephA|beD||IsraelB|4|2|1|20|N|GodA|beD||nurseA|4|6|2|12|N|manA|beD||familyA|4|6|2|12|N|RahabA|beD||manA|4|7|2|18|N|YahwehA|beD||IsraeliteA|4|7|8|35|N|IsraeliteA|beD||familyA|4|8|1|8|N|YahwehA|beD||daughter-in-lawA|4|8|1|8|N|daughter-in-lawA|beD||husbandA|4|8|2|2|N|personA|beD||RuthA|4|8|2|10|N|BoazA|beD||RuthA|4|8|2|20|N|YahwehA|beD||personA|4|9|1|18|N|EliA|beD||HannahA|4|9|2|21|N|YahwehA|beD||HannahA|4|9|15|6|N|KeniteA|beD||IsraeliteA|4|9|20|8|N|JonathanA|beD||DavidA|4|9|20|14|N|DavidA|beD||JonathanA|4|9|20|14|N|YahwehA|beD||personA|4|9|20|15|N|DavidA|beD||familyA|4|9|20|15|N|DavidA|beD||familyA|4|9|25|8|N|NabalA|beD||manA|4|9|25|21|N|DavidA|beD||NabalA|4|9|25|39|N|NabalA|beD||DavidA|4|10|2|5|N|manA|beD||SaulA|4|10|2|6|N|YahwehA|beD||manA|4|10|2|6|N|DavidA|beD||manA|4|10|15|6|I|AbsalomA|beD||IsraeliteA|4|10|15|20|N|GodA|beD||IttaiA|4|10|18|5|N|JoabA|beD||manA|4|10|18|5|N|officerA|beD||AbsalomA|4|10|22|26|N|YahwehA|beD||personA|4|10|22|51|N|YahwehA|beD||kingA|4|10|22|51|N|YahwehA|beD||DavidA|4|17|2|17|I|kingA|beD||EstherA|4|27|1|9|N|officialA|beD||DanielA|4|27|4|27|N|kingA|beD||personA|4|27|9|17|N|LordA|beD||templeA|4|40|5|7|N|personA|beD||personA|4|40|5|7|N|GodA|beD|||4|41|5|19|N|LordA|beD||manA|4|41|10|47|N|JesusA|beD||BartimaeusA|4|41|10|48|N|JesusA|beD||BartimaeusA|4|42|1|25|I|LordA|beD||ElizabethA|4|42|1|50|N|GodA|beD||personA|4|42|1|58|N|GodA|beD||ElizabethA|4|42|6|27|N|personA|beD||personA|4|42|6|33|N|personA|beD||personA|4|42|6|33|N|personA|beD||personA|4|42|6|33|N|personA|beD||personA|4|42|6|33|N|personA|beD||personA|4|42|6|35|N|GodA|beD||personA|4|42|6|35|N|GodA|beD||personA|4|42|6|36|N|personA|beD||personA|4|42|6|36|N|FatherA|beD||personA|4|42|7|34|N|Son-of-ManA|beD||personA|4|42|7|34|N|Son-of-ManA|beD||personA|4|49|4|32|N|personA|beD||personA|7|2|4|12|I|AjaniA|beD||KandeA|,1,,0,,,,0
174093,last,,15,,,0,last in a series,,,,GA_____,"4,40,25,15|(NPp|man|)|(VP|give|)|(NPd|(APA|last|)|servant|)|(NPP|money|)|~The man gave money to the last servant.",4|1|33|2|N|||groupA||4|6|12|4|N|||RephaiteA||4|6|13|12|N|||descendantA||4|6|21|34|N|||family/AclanA||4|6|21|40|N|||family/AclanA||4|7|14|17|N|||dayA||4|9|15|16|N|||nightA||4|10|15|17|N|||houseA||4|10|18|2|N|||groupA||4|10|19|11|N|||tribeA||4|10|19|12|N|||tribeA||4|16|8|18|N|||dayA||4|27|12|1|N|||dayA||4|41|14|12|N|||mealA||4|49|6|10|N|||thingC||,1,,0,,23,,1
173760,24,,6,,,0,the number,,,,,,4|40|5|31|N|personA|seeA|||4|40|5|38|N|||||4|40|5|38|N|personA|seeA|||4|41|9|48|N|||||4|41|10|4|N|personA|seeA|||4|41|10|8|N|||||,4,,0,,,,0
173762,245,,2,,,0,the number,,,,,,4|16|7|67|N|||manA||4|16|7|68|N|||muleA||,4,,0,,,,0
173764,25,,2,,,0,the number,,,,CA_____,"4,17,8,9|(NPS|(APA|25|)|june|)|~June 25th",4|41|12|19|N|personA|seeA|||4|44|1|20|N|||||,4,,0,,7,,1
173765,.25,,0,,,0,the number 1/4th,,,,,,,4,,0,,,,0
173767,25000,,1,,,0,the number,,,,,,4|7|20|46|N|||manA||,4,,0,,,,0
173769,25th,,1,,,0,the number,,,,,,4|16|6|15|N|||dayA||,4,,0,,,,0
173771,26000,,2,,,0,the number,,,,,,4|7|20|15|N|||soldierA||4|7|20|15|N|||soldierA||,4,,0,,,,0
173772,27,,3,,,0,the number,,,,,,4|9|25|18|N|AbigailA|takeA|||4|41|10|6|N|||||4|41|13|14|N|||||,4,,0,,,,0
173774,27th,,1,,,0,27th in a series,,,,O______,,4|1|8|14|N|||dayA||,4,,0,,8,,1
173776,28,,0,,,0,the number,,,,,,,4,,0,,,,0
173778,284,,0,,,0,the number,,,,,,,4,,0,,,,0
173779,29,,3,,,0,the number,,,,CA_____,,4|1|11|24|N|||yearA||4|6|15|32|N|||townA||4|41|7|7|N|personA|seeA|||,4,,0,,7,,1
173781,3000,,9,,,0,the number,,,,,,4|6|7|3|N|||manA||4|6|7|4|N|manA|goA|||4|7|15|11|N|||manA||4|7|16|27|N|manA|beF|||4|9|13|2|N|||manA||4|9|13|5|N|||chariotA||4|9|24|2|N|||manA||4|9|25|2|N|||sheepA||4|9|26|2|N|||soldierA||,4,,0,,,,0
173783,300000,,1,,,0,the number,,,,,,4|9|11|8|N|||manA||,4,,0,,,,0
173785,318,,1,,,0,the number,,,,CA_____,,4|1|14|14|N|||manA||,4,,0,,7,,1
173787,320,,1,,,0,the number,,,,,,4|16|7|35|N|||manA||,4,,0,,,,0
173789,32000,,1,,,0,the number,,,,CA_____,,4|42|16|7|N|||literA||,4,,0,,7,,1
173791,328,,1,,,0,the number,,,,,,4|16|7|22|N|||manA||,4,,0,,,,0
173793,33,,2,,,0,the number,,,,CA_____,,4|1|46|15|N|||descendantA||4|10|5|5|N|||yearA||,4,,0,,7,,1
173795,3300,,,,,0,the number,,,,,,,4,,0,,,,0
173796,34,,4,,,0,the number,,,,CA_____,,4|1|11|16|N|||yearA||4|2|25|39|N|||kilogramA||4|10|12|30|N|crownA|weighA|||4|41|13|25|N|personA|seeA|||,4,,0,,7,,1
173798,3.5,,5,,,0,the number,,,,FA_____,"4,42,4,25|(NPN|(APA|3.5|)|year|)|~3.5 years",4|1|45|22|N|||kilogramA||4|10|21|16|N|tipA|weighA|||4|27|7|25|N|||yearA||4|27|12|7|N|||yearA||4|42|4|25|N|||yearA||,4,,0,,10,,1
173800,300,,16,,,0,the number,,,,CA_____,"4,17,9,15|(NPp|Jew|)|(VP|kill|)|(NPP|(APA|300|)|person|)|~The Jews killed 300 people.",4|1|5|22|N|||yearA||4|1|5|22|N|||yearA||4|7|7|6|N|soldierA|drinkA|||4|7|7|6|N|soldierA|useA|||4|7|7|7|N|||manA||4|7|7|8|N|||soldierA||4|7|7|16|N|||soldierA||4|7|7|22|N|||soldierA||4|7|8|4|N|||soldierA||4|7|11|26|N|||yearA||4|7|11|26|N|||yearA||4|7|15|4|N|||foxA||4|10|23|18|N|||soldierA||4|17|9|15|N|||manA||4|41|14|5|N|womanA|sellA|||4|41|14|5|N|||denariusA||,4,,0,,7,,1
173802,350,,1,,,0,the number,,,,CA_____,,4|1|9|28|N|||yearA||,4,,0,,7,,1
173804,360,,2,,,0,the number,,,,,,4|10|2|31|N|||soldierA||4|10|2|31|N|||soldierA||,4,,0,,,,0
173806,37,,1,,,0,the number,,,,,,4|10|23|39|N|||soldierA||,4,,0,,,,0
173808,38,,0,,,0,the number,,,,,,,4,,0,,,,0
173810,3930,,1,,,0,the number,,,,,,4|16|7|38|N|||manA||,4,,0,,,,0
173811,3rd,,2,,,0,the number,,,,,,4|41|15|25|N|||hourA||4|41|15|25|N|||hourA||,4,,0,,,,0
173813,40,,37,,,0,the number,,,,CA_____,"4,40,4,2|(NPN|after|(APA|40|)|day|)|(NPp|Jesus|)|(VP|be|)|(APP|hungry|)|~Jesus was hungry after 40 days.",4|1|7|4|N|||dayA||4|1|7|4|N|||nightA||4|1|7|12|N|||dayA||4|1|7|12|N|||nightA||4|1|7|17|N|||dayA||4|1|8|6|N|||dayA||4|1|18|29|N|YahwehA|findA|||4|1|18|29|N|||personA||4|1|25|20|N|||yearA||4|1|26|34|N|||yearA||4|1|32|15|N|||cowA||4|1|50|3|N|||dayA||4|1|50|3|N|||dayA||4|2|16|35|N|||yearA||4|2|24|18|N|||dayA||4|2|24|18|N|||nightA||4|6|5|6|N|||yearA||4|6|14|7|N|||yearA||4|7|3|11|N|||yearA||4|7|5|31|N|||yearA||4|7|8|28|N|||yearA||4|7|12|14|N|||sonA||4|7|13|1|N|||yearA||4|9|4|18|N|||yearA||4|9|17|16|N|||dayA||4|10|2|10|N|||yearA||4|10|5|4|N|||yearA||4|32|3|4|N|||dayA||4|40|3|3|N|personA|seeA|||4|40|4|2|N|||dayA||4|40|4|2|N|||nightA||4|41|1|13|N|||dayA||4|42|4|2|N|||dayA||4|42|4|2|N|||dayA||4|44|1|3|N|||dayA||4|44|1|3|N|||dayA||4|44|1|3|N|||dayA||,4,,0,,7,,1
173815,4000,,4,,,0,the number,,,,C______,"4,40,15,38|(NPp|(APA|4000|)|man|)|~4000 men",4|9|4|2|N|PhilistineA|killA|||4|41|8|1|N|JesusA|provideA|||4|41|8|9|N|manA|beF|||4|41|8|20|N|||manA||,4,,0,,7,,1
173817,400000,,2,,,0,the number,,,,,,4|7|20|2|N|||soldierA||4|7|20|17|N|||soldierA||,4,,0,,,,0
173818,403,,2,,,0,the number,,,,CA_____,,4|1|11|13|N|||yearA||4|1|11|15|N|||yearA||,4,,0,,7,,1
173820,420,,,,,0,the number,,,,,,,4,,0,,,,0
173822,42360,,1,,,0,the number,,,,,,4|16|7|66|N|||personA||,4,,0,,,,0
173824,434,,0,,,0,the number,,,,CA_____,,,4,,0,,7,,1
173826,44,,0,,,0,the number,,,,,,,4,,0,,,,0
173827,44000,,,,,0,the number,,,,,,,4,,0,,,,0
173829,450,,1,,,0,the number,,,,,,4|16|3|13|N|||meterA||,4,,0,,,,0
173831,46,,0,,,0,the number,,,,,,,4,,0,,,,0
173833,468,,0,,,0,the number,,,,,,,4,,0,,,,0
173834,48,,3,,,0,the number,,,,,,4|6|21|41|N|||townA||4|41|9|44|N|||||4|41|9|46|N|||||,4,,0,,,,0
173836,49,,0,,,0,the number,,,,CA_____,,,4,,0,,7,,1
173838,5,,70,,,0,the number,,,,Cab____,"6,9,1,8|(NPp|David|)|(VP|choose|)|(NPP|(APA|5|)|stone|)|~David chose five stones.",6|9|1|8|N|||stoneA||4|1|14|2|N|||kingA||4|1|14|2|N|||kingA||4|1|14|3|N|||kingA||4|1|14|3|N|||kingA||4|1|14|4|N|||kingA||4|1|14|9|N|||kingA||4|1|18|28|L|||personA||4|1|23|16|N|||kilogramA||4|1|43|34|N|||timesB||4|1|45|6|N|||yearA||4|1|45|11|N|famineA|beE|||4|1|45|22|N|||setA||4|1|47|2|N|||brotherA||4|1|47|2|N|||brotherA||4|1|47|2|N|||brotherA||4|2|22|1|N|||cowA||4|6|10|5|N|||kingA||4|6|10|16|N|||kingA||4|6|10|16|N|||kingA||4|6|10|17|N|||kingA||4|6|10|22|N|||kingA||4|6|10|23|N|||kingA||4|6|10|25|N|||kingA||4|6|10|26|N|||poleA||4|6|13|3|N|||manA||4|6|13|3|N|||manA||4|6|17|3|N|||daughterA||4|7|3|3|N|||rulerA||4|7|18|2|N|||soldierA||4|7|18|7|N|||manA||4|7|18|8|N|||manA||4|7|18|14|N|||manA||4|7|18|17|N|||manA||4|7|18|18|N|||manA||4|9|6|4|N|||rulerA||4|9|6|4|N|||sore/AtumorA||4|9|6|4|N|||ratA||4|9|6|16|N|||rulerA||4|9|6|17|N|||sore/AtumorA||4|9|6|17|N|||townA||4|9|6|17|N|||sore/AtumorA||4|9|6|17|N|||townA||4|9|6|18|N|||ratA||4|9|6|18|N|||rulerA||4|9|6|18|N|||townA||4|9|17|40|N|||stoneA||4|9|21|3|N|||loafA||4|9|25|18|N|||sheepA||4|9|25|42|N|||servantA||4|10|4|4|N|||yearA||4|10|21|8|N|||sonA||4|40|2|6|N|personA|seeA|||4|41|6|38|N|||piece/AloafA||4|41|6|41|N|||piece/AloafA||4|41|7|10|N|personA|seeA|||4|41|8|18|N|personA|seeA|||4|41|8|19|N|||piece/AloafA||4|41|10|6|N|personA|seeA|||4|41|10|19|N|personA|seeA|||4|41|12|19|N|personA|seeA|||4|41|12|30|N|||||4|42|1|24|N|||monthA||4|42|9|13|N|apostleA|haveA|||4|42|9|16|N|||loafA||4|42|12|6|N|||birdA||4|42|12|52|N|||personA||4|42|16|28|N|||brotherB||4|42|19|18|N|||coinA||4|42|19|19|N|||cityA||,4,,0,,7,,1
173839,.5,,60,,,0,the number,,,,FA_____,,4|1|6|16|N|||meterA||4|2|21|35|N|||moneyA||4|2|21|35|N|||bullA||4|2|24|6|N|||bloodA||4|2|24|6|N|||bloodA||4|6|1|12|N|||personA||4|6|4|12|N|||manA||4|6|7|21|N|barA|weighA|||4|6|8|33|N|||personA||4|6|8|33|N|||personA||4|6|12|2|N|||GileadA||4|6|12|5|N|||GileadA||4|6|12|6|N|||tribeA||4|6|13|7|N|||tribeA||4|6|13|8|N|||personA||4|6|13|25|N|||landA||4|6|13|29|N|||tribeA||4|6|13|29|N|||familyA||4|6|13|29|N|||tribeA||4|6|13|31|N|||GileadA||4|6|13|31|N|||descendantA||4|6|14|3|N|||family/AclanA||4|6|18|7|N|||tribeA||4|6|21|5|N|||tribeA||4|6|21|6|N|||tribeA||4|6|21|6|N|||tribeA||4|6|21|25|N|||tribeA||4|6|21|25|N|||tribeA||4|6|21|27|N|||tribeA||4|6|22|1|N|||tribeA||4|6|22|1|N|||tribeA||4|6|22|7|N|||personA||4|6|22|7|N|||personA||4|6|22|9|N|||personA||4|6|22|10|N|||personA||4|6|22|13|N|||tribeA||4|6|22|15|N|||personA||4|6|22|21|N|||tribeA||4|7|3|16|N|swordA|beD|||4|10|10|4|N|||beardA||4|10|19|40|N|||soldierA||4|16|3|9|N|||regionA||4|16|3|12|N|||regionA||4|16|3|16|N|||regionA||4|16|3|17|N|||regionA||4|16|3|18|N|BinnuiA|ruleA|||4|16|4|6|N|||heightA||4|16|4|16|N|||manA||4|16|4|16|N|||manA||4|16|4|21|N|||manA||4|17|5|3|N|||kingdomA||4|17|5|6|N|||kingdomA||4|17|7|2|N|||kingdomA||4|41|6|23|N|||country/AkingdomA||4|41|6|23|N|||country/AkingdomA||4|42|19|8|N|||thingA||7|2|3|9|N|||cropA||7|2|3|10|N|||cropA||7|2|3|11|N|||cropA||7|3|3|1|N|||personA||,4,,0,,10,,1
173841,500,,7,,,0,the number,,,,CA_____,"4,17,9,6|(NPp|Jew|)|(VP|kill|)|(NPP|(APA|500|)|man|)|~The Jews killed 500 men.",4|1|5|32|N|||yearA||4|1|11|11|N|||yearA||4|17|9|6|N|||manA||4|17|9|11|N|||manA||4|17|9|12|N|||manA||4|42|7|41|N|||coinA||4|42|7|43|N|||coinA||,4,,0,,7,,1
173843,500000,,1,,,0,the number,,,,,,4|10|24|9|N|||manA||,4,,0,,,,0
173845,53,,0,,,0,the number,,,,,,,4,,0,,,,0
173847,550,,,,,0,the number,,,,,,,4,,0,,,,0
173849,5.7,,2,,,0,the number,,,,,,4|1|24|22|N|ring-noseA|weighA|||4|1|24|22|N|bekaA|beB|||,4,,0,,,,0
173850,575,,1,,,0,the number,,,,,,4|10|24|24|N|DavidA|buyA|||,4,,0,,,,0
173852,595,,1,,,0,the number,,,,CA_____,,4|1|5|30|N|||yearA||,4,,0,,7,,1
174094,late,,0,,,0,"to be late, not on time",,,,G______,"4,40,25,5|(NPp|bridegroom|)|(VP|be|)|(APP|late|)|~The bridegroom was late.",,1,,0,,16,,1
174096,left,,25,,,0,left side,,,,GA_____,"4,41,10,40|(NPp|person|)|(VP|sit|)|(NPd|at|(APA|left|)|side|(NPN|of|Jesus|)|)|~The people sat at Jesus' left side.",4|1|13|9|N|||sideA||4|1|13|9|N|||sideA||4|1|48|13|N|||handA||4|1|48|13|N|||sideA||4|1|48|14|N|||handA||4|2|14|22|N|||sideA||4|2|14|29|N|||sideA||4|6|1|7|N|||sideA||4|6|23|6|N|||sideA||4|7|3|15|N|||handA||4|7|3|21|N|||handA||4|7|7|20|N|||handA||4|7|16|29|N|||handA||4|7|20|16|N|||handA||4|10|20|10|N|||handA||4|16|8|4|N|||sideA||4|27|12|7|N|||handA||4|40|5|39|N|||cheekA||4|41|10|37|N|||sideA||4|41|10|40|N|||sideA||4|41|15|27|N|||sideA||4|42|23|33|N|||sideA||7|1|1|11|N|||eyeA||7|1|1|12|N|||eyeA||7|1|1|16|N|||eyeA||,1,,0,,15,,1
174098,light,,2,,,0,not heavy,,,,,,4|27|5|27|T|kingA|beD|||4|32|1|5|C|shipA|becomeA|||,1,,0,,,,0
174100,lonely,,1,,,0,feeling lonely,,,,,,4|10|13|20|I|TamarA|beD|||,1,,0,,,,0
174102,long,,6,,,0,a long period of time,,,,GA_____,,4|10|20|18|N|||timeA||4|42|1|21|N|||timeA||4|42|9|8|N|||timeA||4|42|9|19|N|||timeA||4|42|21|11|N|||timeA||4|49|6|3|N|||timeA||,1,,0,,16,temporal,1
174103,long,,2,,,0,"as in ""20 meters long""",,,,G__C___,,4|1|6|15|N|boatB|beD||meterA|4|7|3|16|N|swordA|beD||meterA|,1,,0,,15,,1
174105,loud,,7,,,0,the sound is loud,,,,G_B____,,4|2|19|16|N|||soundA||4|2|19|19|C|soundA|becomeA|||4|9|7|10|I|||thunderA||4|27|10|6|N|voiceA|beD|||4|27|10|6|N|voiceA|beD|||4|32|2|9|N|||voiceA||4|42|21|25|I|seaA|beD|||,1,,0,,23,,1
174107,lucky,,0,,,0,"DON'T USE THIS, INSTEAD USE 'fortunate' to have something good happen, fortunate",,,,G_B____,,,1,,0,,23,,1
174109,mature,,1,,,0,"complex - spiritually well developed, knowledgeable",,,,,,4|50|3|15|N|personA|beD|||,2,,0,,,,0
