ID,SyntacticCategory,GroupName,RulesName,Input,Output,Status,Comment,CommentFonts,NameFonts,References,GrammarTopics,RuleType,PunctuationTable
167,1,Punctuation,  change '!' to 'exclamation .',!, exclamation .^period,1,  Infected Eye 1:4  Janet's eye was very red also.,,,,,,
168,1,Change one word to another,  Change 'large' to 'big', large , big ,1,  ,,,,,,
169,1,Punctuation,  Change '(title)' to '-title', title() , -title ,1,  ,,,,,,
170,1,Punctuation,  Change (footnote) to -footnote, footnote() , -footnote ,1,  ,,,,,,
174,1,Combine Words with Dashes,  change 'much' to 'much-many', much , much-many ,1,"  We don't need to do this for 'many' because the target word 'many' is linked to 'much-many', but the target word 'much' isn't linked.",,,,,,
175,1,Combine Words with Dashes,  'at-that-time', at that time , at-that-time ,1,  ,,,,,,
176,1,Combine Words with Dashes,  'wood-acacia', acacia wood , wood-acacia ,1,  ,,,,,,
177,1,Words with Grammatical Significance (words not in the ontology),  Change 'may' to 'may^may_mood', may , may^may_mood ,1,  Daniel 5:17  You may keep those gifts for yourself.  'may' mood is more common than 'may' illocutionary force.,,,,,,
178,1,Combine Words with Dashes,  'ark-of-the-covenant', ark of the covenant , ark-of-the-covenant ,1,  ,,,,,,
179,1,Words with Grammatical Significance (words not in the ontology),  Change 'who' to 'who^relativizer_interrogative_person', who , who^relativizer_interrogative_person ,1,"  A later rule will check if 'who' immediately follows a noun.  If it does, it will be converted to a relativizer.  If it doesn't, it will be converted to an interrogative.",,,"4,27,1,3^4,27,1,4^4,27,1,6^4,27,1,10^4,27,1,13^4,27,2,37^4,27,2,44^4,27,3,3^4,27,3,6^4,27,3,11^4,27,3,22^4,27,3,23^4,27,3,29^4,27,4,11^4,27,4,17^4,27,4,20^4,27,4,21^4,27,4,22^4,27,4,27^4,27,4,34^4,27,4,35^4,27,5,2^4,27,5,7^",,,
180,1,Words with Grammatical Significance (words not in the ontology),  Change 'whom' to 'who^relativizer', whom , who^relativizer ,1,"  Daniel 2:24 Daniel went to Arioch, whom ...",,,"4,27,2,26^4,27,3,17^4,27,4,19^",,,
184,1,Words with Grammatical Significance (words not in the ontology),  Change '(alt)' to '(alt)^alternate, alt() ; (alt) , (alt)^alternate ,1,  ,,,,,,
181,1,Words with Grammatical Significance (words not in the ontology),  Change '[ where] to '[ that^relativizer-locative', [ where , [ that^relativizer-locative ,1,  Luke 2:4 Bethlehem is the town where King David was born.,,,,,,
182,1,Words with Grammatical Significance (words not in the ontology),  Change -title to -title^episode_title, -title , Title^episode_title ,1,  ,,,,,,
183,1,Words with Grammatical Significance (words not in the ontology),  Change -questionable to -Questionable^questionable_text, -questionable , Questionable^questionable_text ,1,  ,,,,,,
185,1,Words with Grammatical Significance (words not in the ontology),  Change '(implicit-info)' to '(implicit-info)^implicit_info, implicit-info() ; (implicit-info) , (implicit-info)^implicit_info ,1,  ,,,,,,
186,1,Words with Grammatical Significance (words not in the ontology),  Change '(implicit-cultural)' to 'implicit-cultural^implicit-cultural, implicit-cultural() , implicit-cultural^implicit-cultural ,1,  ,,,,,,
187,1,Words with Grammatical Significance (words not in the ontology),  Change '(implicit-situational)' to 'implicit-situational^implicit-situational, implicit-situational() , implicit-situational^implicit-situational ,1,  ,,,,,,
188,1,Words with Grammatical Significance (words not in the ontology),  Change '(implicit-historical)' to 'implicit-historical^implicit-historical, implicit-historical() , implicit-historical^implicit-historical ,1,  ,,,,,,
189,1,Words with Grammatical Significance (words not in the ontology),  Change '(implicit-background)' to 'implicit-background^implicit-background, implicit-background() , implicit-background^implicit-background ,1,  ,,,,,,
190,1,Words with Grammatical Significance (words not in the ontology),  Change '(implicit-subaction)' to 'implicit-subaction^implicit-subaction, implicit-subaction() , implicit-subaction^implicit-subaction ,1,  ,,,,,,
191,1,Words with Grammatical Significance (words not in the ontology),  Change '(primary)' to 'primary^primary, primary() , primary^primary ,1,  ,,,,,,
192,1,Words with Grammatical Significance (words not in the ontology),  Change '(meaning-1)' to 'meaning-1^meaning-1, meaning-1() , meaning-1^meaning-1 ,1,  ,,,,,,
193,1,Words with Grammatical Significance (words not in the ontology),  Change '(meaning-2)' to 'meaning-2^meaning-2, meaning-2() , meaning-2^meaning-2 ,1,  ,,,,,,
194,1,Words with Grammatical Significance (words not in the ontology),  Change '(meaning-3)' to 'meaning-3^meaning-3, meaning-3() , meaning-3^meaning-3 ,1,  ,,,,,,
195,1,Words with Grammatical Significance (words not in the ontology),  Change '(meaning-4)' to 'meaning-4^meaning-4, meaning-4() , meaning-4^meaning-4 ,1,  ,,,,,,
196,1,Words with Grammatical Significance (words not in the ontology),  Change '(meaning-5)' to 'meaning-5^meaning-5, meaning-5() , meaning-5^meaning-5 ,1,  ,,,,,,
197,1,Words with Grammatical Significance (words not in the ontology),  Change 'some-of', some-of , some-of^some-of ,1,  ,,,,,,
198,1,Words with Grammatical Significance (words not in the ontology),  Comments begin with an open parenthesis, comment-begin() , -CommentBegin ,1,  ,,,,,,
199,1,Words with Grammatical Significance (words not in the ontology),  Comments end with a closing parenthesis, comment-end(), -CommentEnd ,1,  ,,,,,,
200,1,Words with Grammatical Significance (words not in the ontology),  Change '(paragraph)' to 'paragraph^paragraph',paragraph(),paragraph^paragraph,1,  ,,,,,,
201,1,Words with Grammatical Significance (words not in the ontology),  Change '(yesrhetorical)' to 'yesrhetorical^yesrhetorical',yesrhetorical(),yesrhetorical^yesrhetorical,1,  ,,,,,0,
202,1,Words with Grammatical Significance (words not in the ontology),  Change '(norhetorical)' to 'norhetorical^norhetorical',norhetorical(),norhetorical^norhetorical,1,  ,,,,,0,
203,1,Words with Grammatical Significance (words not in the ontology),  Change '(literalunits)' to 'literalunits^literalunits',literalunits(),literalunits^literalunits,1,  ,,,,,0,
204,1,Words with Grammatical Significance (words not in the ontology),  Change '(modernunits)' to 'modernunits^modernunits',modernunits(),modernunits^modernunits,1,  ,,,,,0,
